DBH,H,BA,VUB
19.7,26.7,0.03,0.33
19.2,24.7,0.029,0.29
22.6,23.4,0.04,0.39
21.8,29.4,0.037,0.44
14.3,17.5,0.016,0.12
17.8,23.7,0.025,0.24
21.6,21.4,0.037,0.32
12.6,15.4,0.012,0.08
16.6,17.1,0.022,0.16
20,18.7,0.031,0.25
18.8,22.3,0.028,0.26
20.1,20.1,0.032,0.27
21.9,29.1,0.038,0.44
20,29.8,0.031,0.38
22,24.5,0.038,0.38
15.2,21.9,0.018,0.16
18.7,24.1,0.027,0.27
23.3,29.6,0.043,0.51
22.7,26.3,0.04,0.43
13.3,14.7,0.014,0.09
17.1,28.7,0.023,0.27
17.3,22.6,0.024,0.22
22.9,26.5,0.041,0.44
9.9,17.2,0.008,0.06
24.4,28.9,0.047,0.55
28.9,31.8,0.066,0.84
8.9,14.6,0.006,0.04
16.2,28.2,0.021,0.23
22.7,30.6,0.04,0.5
16.5,26.4,0.021,0.23
21.2,27.3,0.035,0.39
22.5,24.7,0.04,0.4
17.9,21.7,0.025,0.23
8.7,19.5,0.006,0.05
10.3,17.9,0.008,0.06
10.1,20.4,0.008,0.07
19.3,25.4,0.029,0.3
28.4,20.5,0.063,0.54
23.8,28.1,0.044,0.51
28.1,21.5,0.062,0.55
12.8,15.7,0.013,0.09
24.3,25.6,0.046,0.48
21.6,24,0.037,0.36
14.5,19.4,0.017,0.13
28.1,22.4,0.062,0.57
20.1,24.7,0.032,0.32
15.3,25.1,0.018,0.19
26.3,25.8,0.054,0.57
20.3,27.7,0.032,0.36
15,24.4,0.018,0.18
16.3,21.3,0.021,0.18
17.4,23,0.024,0.23
16.1,20.9,0.02,0.18
26,19.6,0.053,0.44
8,12.8,0.005,0.03
10.6,13.8,0.009,0.05
8.9,16.4,0.006,0.04
15.4,21.4,0.019,0.17
16,17.7,0.02,0.15
9.9,14,0.008,0.05
22.5,14,0.04,0.24
12.3,19.1,0.012,0.1
23.1,28.8,0.042,0.49
25.3,28.5,0.05,0.58
17.8,28,0.025,0.28
17.7,30.2,0.025,0.3
25.2,27,0.05,0.55
33.4,28.1,0.088,1
19.2,20.6,0.029,0.25
12.3,16.2,0.012,0.08
23.8,28.8,0.044,0.52
33.2,30.9,0.087,1.08
12.1,22.1,0.011,0.11
6.4,12.4,0.003,0.02
9,14.5,0.006,0.04
26.7,31.3,0.056,0.7
9.9,15.3,0.008,0.05
16.7,19.4,0.022,0.18
28.9,25.5,0.066,0.68
15.5,14.6,0.019,0.12
18.4,24.6,0.027,0.27
23.4,28.8,0.043,0.5
13.3,21.3,0.014,0.12
26.5,29.1,0.055,0.65
18.2,23.5,0.026,0.25
11.6,21.5,0.011,0.09
19,19.5,0.028,0.23
19,20.1,0.028,0.24
17.9,20.9,0.025,0.22
14.5,19.4,0.017,0.13
12.5,15.2,0.012,0.08
18.8,24,0.028,0.27
18.5,19.5,0.027,0.22
17.9,18.5,0.025,0.2
15.1,15.9,0.018,0.12
13.9,17.5,0.015,0.11
18,23.3,0.025,0.24
14.4,17.1,0.016,0.12
19.7,20.7,0.03,0.26
13.9,16.2,0.015,0.11
22,25,0.038,0.39
19,23.1,0.028,0.27
11.2,15.3,0.01,0.07
24.8,29.1,0.048,0.57
22.5,27.2,0.04,0.44
25.2,27.9,0.05,0.56
16.1,28.1,0.02,0.23
21.8,28.2,0.037,0.43
27,28.2,0.057,0.65
20.3,22.3,0.032,0.3
22.6,28.5,0.04,0.46
26.2,27.6,0.054,0.6
22,26,0.038,0.4
24.9,28.6,0.049,0.56
24.5,18.2,0.047,0.36
22.7,19.2,0.04,0.33
23.5,19.9,0.043,0.36
23.4,17.9,0.043,0.33
11.1,13.9,0.01,0.06
26.8,26.2,0.056,0.6
10.8,16.3,0.009,0.06
18.2,22.8,0.026,0.24
17.5,22.7,0.024,0.23
13.5,16.9,0.014,0.1
17,20.6,0.023,0.19
30,24.3,0.071,0.71
13.7,16.1,0.015,0.1
29,19.8,0.066,0.55
21.6,25,0.04,0.37
26.1,24.3,0.05,0.53
21.1,23.4,0.04,0.34
18.4,23.5,0.03,0.26
18.6,16.1,0.03,0.19
21.4,24.2,0.04,0.36
24.6,21.8,0.05,0.43
36.8,34.1,0.11,1.45
21.5,22,0.04,0.33
33.4,34,0.09,1.19
10.4,19.6,0.01,0.07
25,25.4,0.05,0.51
28.3,34.7,0.06,0.87
18.4,19.7,0.03,0.22
20,30.4,0.03,0.38
20.6,19.9,0.03,0.28
32.5,33.5,0.08,1.11
12.5,13.7,0.01,0.07
18,20.6,0.03,0.22
19.8,19.6,0.03,0.25
18.9,24.1,0.03,0.28
18.1,29.9,0.03,0.31
22.1,32.5,0.04,0.5
17.5,18,0.02,0.18
21.4,23.6,0.04,0.35
12.6,12.2,0.01,0.07
14,17.2,0.02,0.11
23.9,30.6,0.05,0.55
28.1,35.2,0.06,0.87
25.8,29.5,0.05,0.62
21.3,22.1,0.04,0.33
15.3,23.4,0.02,0.18
22.8,19.6,0.04,0.34
20.7,20.1,0.03,0.28
26.5,30.9,0.06,0.68
23.3,22.1,0.04,0.39
14.5,16,0.02,0.11
17.4,17.6,0.02,0.18
15.5,15.6,0.02,0.13
17,22.4,0.02,0.21
33.7,32.7,0.09,1.17
24.8,14.8,0.05,0.31
36,27.9,0.1,1.16
13.2,16.8,0.01,0.1
